Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
55,2807.9119,2500.309747,0,0,31.12,7.11,393.8,0.33,0.14,5.52,0,20.09,0.07
56,5657.379465,7451.0618,0,0,41.22032054,0.087041227,9.788755846,0.521494349,0,197.6416113,0,0.074203131,0.519692032
57,5368.45936,7545.919197,0,0,2.749479621,0.036596582,17.91471483,0.396178193,0,0.050763649,0,0.538455951,0.282798855
58,4041.124221,3918.664416,0,0.10188399,0,0.286995589,109.2277734,5.069837731,0,2.86080726,0,0.447512907,30.41835142
59,2821.275343,2875.258473,0,0.13,22.35,3.06,110.71,0.04,0,68.74,0,0.82,0.02
60,8364.967956,10955.8145,0,0,0,0.018205054,5.761055767,11.65818028,0,3.847404888,0,0.07037563,1.307287665
61,12116.509,15620.68442,0,0.22,25.11,0.41,47.27,0.13,0.01,7.28,0,0.78,0.03
62,14498.98855,20847.32446,0,0.16,16.09,0,1.71,6.7,0,4.18,0,0.15,3274.37
63,13004.58466,17487.15253,0.13,0,11.27,0.27,12.71,0.05,0.02,7.24,0,0.31,0.23
64,8070.404406,8866.687067,0,0.11,410.56,0.09,52.55,0.07,0.01,7.09,0,0.11,0.96
65,8460.561295,10027.79328,0,0.25,53.34,0.12,30.54,0.1,0.02,4.75,0,2.04,26.32
66,10335.34838,13318.88629,0,0,38.27,0,1.47,1.61,0.02,2.17,0,0.1,13.64
67,12104.63434,16554.74399,0,0,11.87,0.73,1.37,14.91,0,4.21,0,1.84,0.28
68,11160.50882,18291.5832,0,0,85.73654189,0,6.223950468,1.312399066,0,2.793790515,0,0.200900433,5.538047862
69,2314.08106,3424.604275,0,0,15.05482503,0.902204867,60.92509346,0.735896,0.018494927,2.010908816,0,4.754073864,0.489752109
70,5886.388686,5743.666992,0,0,2.456078691,0.666977774,3228.014515,0.081894201,0.014549819,13.09903901,0,11.83299878,0.015667485
71,3387.615684,3587.456501,0,0,3.327793601,3.994497475,81.75980462,7.513506599,0.029237296,0.621438174,0,0.929452018,86.23953455
72,12263.48584,14573.89131,0,0,0,0.05,3.93,0.56,0,0.75,0,0.03,41.45
73,5003.919353,5614.937035,0,0,65.77874169,1.199726241,88.22738515,0.105449015,0.073954859,7.758645283,0,7.141013759,0.484201109
74,2762.114844,2625.767712,0,0,9.2963369,0.644198996,487.1458443,0.058681947,0.069746383,19.54646228,0,5.728399603,0.009803563
75,2707.19013,3948.363189,0,0,25.05345292,0,3.118535935,3.643895192,0,54.09533207,0,0.140627124,0.65668124
76,3791.13195,4387.886411,0,0.113710309,209.2650916,0.403621186,139.9850981,0.181524355,0.028657986,13.28532002,0,5.363883099,0.061821636
77,6403.53638,9050.582641,0,0,7.51,0.39,46.48,0.43,0.02,8.7,0,0.3,0.25
78,5732.012583,4728.257024,0.053099292,0,11.07174822,0.866295982,216.3966004,0.266001925,0.014972513,5.794139315,0,0.338086691,0.025697784
79,2917.79606,2983.965297,0.460127672,0.119978472,55.2395846,1.087481733,167.4247272,0.072112084,0.064507228,11.82068304,0,3.121952736,0.699671444
80,5859.94823,9925.164407,0,0,68.71993195,0,0.969496405,0.683525052,0,16.15871691,0,0.121537684,0.552414548
81,5014.095721,6721.310816,0,0,12.01859963,0.133636003,58.80906401,0.178708499,0.010852246,1.172845327,0,1.250578381,69.06841068
82,4002.9868,4382.350383,0,1.468163525,140.2010185,0.214156932,190.6337479,0.404251084,0.011602286,8.963809015,0,0.108381172,8.078195626
83,15765.81827,19818.95578,0.032312978,0,1.560693488,0.171844804,10.5544517,1.158549379,0.005971197,0.16092645,0,0.182901208,31.11399176
84,7168.78324,8877.948393,0.09,0.1,106.45,0.17,16.29,0.18,0.01,3.77,0,0.21,0.05
