Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
15,8.196223711629045,8.219805729473192,0.0,0.08153978415800404,0.009720103985916712,0.16051136363636362,0.3536934833368712,0.018183987205235497,0.07284983964422624,0.006694441091761326,0.0,0.061732184445928144,0.33493598511190664
16,8.640177196066206,8.512071948877614,0.6438042529131104,0.024461935247401218,0.012303374865056739,0.7840909090909091,0.39915092337083424,0.0264341295483516,0.5827987171538099,0.08256477346505635,0.29751450036794413,0.02469287377837126,0.06765131751845256
17,8.54868826932188,8.711312104834843,0.0,0.0,0.0,0.13910546891481507,0.08023384706652069,0.0885957850157348,0.01655252755747921,0.030676262971020902,0.0,0.3339293519743023,1.0
18,7.495893954143597,7.505042910862307,1.0,0.10579670205340248,0.049079798945405734,0.8351175492384674,0.8127808514029483,0.037034715721036934,1.0,1.0,1.0,0.38945358673332897,0.024508148903871083
19,8.156971837822649,8.352798275905574,0.0,0.021743942442134415,0.0024227286211143755,0.203125,0.36199320738696666,0.024413686525547654,0.07284983964422624,0.0,0.0,0.7893488651152679,0.015745057693937643
20,8.25663988705019,8.383208870879162,0.0,0.0,0.0020724546036038636,0.03977272727272728,0.040458501379749524,0.0,0.0,0.002037438593144751,0.0,0.15474200901112656,0.00041308930377636604
22,8.350375266228863,8.458045619665748,0.349300799178192,0.05365086573250726,0.003086380425159842,0.13361073611581037,0.20903454110731265,0.047999614215266634,0.0432624230110869,0.022088283075837052,0.0,0.057876727508541344,0.007851738260501393
23,7.688992417986886,7.573156468298662,0.0,0.019025949636867615,0.0,0.8053977272727273,1.0,0.007239920831714132,0.097133119525635,0.2278050388906608,0.19834300024529614,0.6708230709790859,0.02303767271060503
24,8.010524591906307,8.883805109155237,0.0,0.0,0.007822786391068105,0.1803977272727273,0.0019953300785395885,0.42092562975082165,0.0,0.0015523341662055249,0.0,0.006584766340899002,0.006990742063907734
25,8.382695505108885,8.262384527455358,0.0,0.0,0.017855530006767987,0.6674207989143451,0.05048012207478476,1.0,0.0,0.0008608648606383025,0.0,0.013526754602105165,0.003390383845829338
26,8.216576482056418,8.794280319135959,0.0,0.0,0.0,0.07801941163128397,0.005090452932998556,0.012522221700312449,0.0,0.0013273054722875946,0.0,0.005445853492232848,1.299714441372231e-05
27,7.744187221668714,7.732989078942552,0.0,0.026768285463781735,0.001814059637835831,0.559531490191125,0.8544298777795744,0.021353589048808328,0.12343889073784436,0.49352620754228804,0.05363066468762458,0.16484491084821645,0.006658625850795187
28,8.254347581240486,8.7303701359076,0.0,0.082376966389613,0.0,0.20163216871841907,0.025636804667849077,0.01622116706014976,0.0,0.00023960378403975488,0.0,0.010330219625444635,0.12871088956777083
29,8.292001118563798,8.354094981854434,0.0,0.0,0.0016127199556213163,1.0,0.07541923158565061,0.0013469620152026292,0.02428327988140875,0.02871818207480221,0.0,0.030454544326657885,0.0032888263800656833
30,8.5041019376651,8.57048143396346,0.0,0.0,0.0069325065965622195,0.12642045454545456,0.04662492039906601,0.07509313234754658,0.0,0.04414450285146961,0.0,0.02140049060792176,0.6167264424879693
31,8.654620753854143,9.002233299702402,0.0,0.0,0.0019119123455782123,0.328125,0.008299724050095521,0.08334327469066269,0.02428327988140875,0.0050450860401679565,0.0,0.11111793200267067,0.03681261218653231
32,8.115974841551703,8.252402504969094,0.0,0.0,0.0,0.6431862244276406,0.2976484361018425,0.0005540738609300941,0.49232705455103826,0.06247104807257874,0.0,1.0,1.7966258315873493e-05
33,8.017909551613345,8.655721002698135,0.0,0.0,0.007337875020259747,0.07065228646822216,0.023419445742261517,0.004354100723926263,0.0,0.0005228686802671176,0.0,0.0012371644932185962,0.0003571891547911275
34,8.460692893770311,8.426096646278234,0.5651170664459524,0.012774566184753968,0.03538424340639005,0.05894886363636363,0.3148174485247293,0.0013301249900125964,0.15784131922915687,0.20346249874685038,0.0,0.09128132340071242,0.00015411408640887502
35,9.385823612356337,9.625654382251446,0.0,0.9556899416096631,0.0,0.00961496192231588,0.02562773571575684,0.10848236904211708,0.0,0.07764765711643007,0.0,0.014714877421601281,0.0034188110790577147
36,8.852126727416016,8.826480395187124,0.0,1.0,0.0,0.2602559690327387,0.03667042077790936,0.10494918571798502,0.0,0.08519689316387273,0.0,0.05451236485803532,0.0033012238927206967
37,9.063013394645337,9.282876118640408,0.0,0.0,0.0026121727144071665,0.21205850197235226,0.009741800099526257,0.042253860828937624,0.0,0.0067188062396893984,0.0,0.0020445382058400757,0.007453093251915729
38,9.14482052490912,9.563680657148762,0.0,0.0,0.004281942768336055,0.0,0.00121423788805121,0.09538587010032232,0.0,0.00010441168953359957,0.0,0.0036066030852880543,0.000979396214585284
39,9.222201147065114,9.418394728362664,0.0,0.0,0.004139503097966102,0.21225526790086505,0.0010887767793208768,0.1489331134805091,0.0,0.006305765896571448,0.0,0.0009512992997223006,0.016975579388071548
40,8.385709314913493,8.6850712782297,0.0,0.0,0.0580944052791914,0.021306818181818184,0.16479516026321372,0.004040886045607888,0.0,0.04715215029849282,0.0,0.039508598045394014,0.00014299245130720362
41,8.487161280256316,8.699234807919455,0.0,0.0,0.0027146236357064694,0.4644886363636364,0.11677987688388879,0.001010221511401972,0.0485665597628175,0.08518433737052818,0.0,0.3094840180222531,3.1776100290489694e-05
42,9.4874727915122,9.824689440806642,0.0,0.0,0.0,0.004261363636363636,0.0028762470812990874,0.0021888132747042727,0.0,0.07674352034178564,0.0,0.004938574755674253,0.00041308930377636604
43,9.841014968945885,9.765681596167502,0.0,0.0,0.01933074734136139,0.35795454545454547,0.1883570367225642,0.008755253098817091,0.24283279881408748,0.04482364904918453,0.0,0.08313267505384991,0.0002700968524691624
44,8.990877748975402,9.428379740363408,0.0,0.0,0.022067263103162264,0.0014204545454545455,0.0,0.11331317952892118,0.0,0.019695239733732595,0.0,0.0,0.008944972231772848
45,8.966436826711549,9.263325691148758,0.0,0.1549255899002077,0.04587130154314749,0.011363636363636364,0.011239651878582042,0.4059406773316924,0.0,0.04462960727840884,0.0,0.0016461915852247506,3.1776100290489694e-05
46,8.087967460435332,8.104274121028423,0.0,0.029897920857934822,0.005867089793301078,0.11363636363636363,0.22020802377414558,0.0013469620152026292,0.02428327988140875,0.01115740181960221,0.0,0.047739555971517765,6.355220058097939e-05
47,8.764558606174848,8.955589678435384,0.0,0.0,0.0028678685183673182,0.11079545454545454,0.03305030779027807,0.000505110755700986,0.02428327988140875,0.2284841850883757,0.0,0.04691646017890539,1.5888050145244847e-05
48,9.668392005454784,9.775881920243213,0.0,0.0,0.01115038955741797,0.052556818181818184,0.003428146890256845,0.011954287884923333,0.0,0.033860289000358014,0.0,0.0024692873778371263,0.01569739354350191
49,8.030914935221526,8.044217542625757,0.0,0.0,0.0016710989585397352,0.203125,0.278337932498408,0.001515332267102958,0.679931836679445,0.013873986610461879,0.0,0.2493980251615497,6.355220058097939e-05
50,9.308579163389943,9.455007370616327,0.0,0.0,0.0,0.005681818181818182,0.006155805561451921,0.002020443022803944,0.0,0.35208879307249064,0.0,0.007407862133511378,0.0206544651888183
51,8.324003070292962,8.649091505370047,0.0,0.0,0.01136931081836204,0.02556818181818182,0.032922946295903206,0.005219477808910188,0.0,0.16027850266072044,0.0,0.0016461915852247506,0.009246845184532502
52,8.098918723938063,8.045596873352082,0.0,0.08425777696327084,0.007093048854587872,0.40340909090909094,0.31315007429420505,0.001515332267102958,0.02428327988140875,0.29494349157904975,0.0,0.1127641235878954,3.1776100290489694e-05
53,8.5348452080022,8.822410119752503,0.0,0.17123354673180852,0.013368791668317882,0.0014204545454545455,0.002250053067289323,0.07256757856904164,0.0,0.0012612715100419891,0.0,0.0024692873778371263,0.04833144854183483
54,7.771426969001165,7.741169987130974,0.0,0.0,0.010157946507804853,0.1306818181818182,0.14773933347484608,0.001515332267102958,0.0485665597628175,0.36247002780899007,0.0,0.0732555255425014,0.0
57,8.588296248760784,8.92876219245385,0.0,0.0,0.0020063984854032696,0.0051983780713929836,0.018886345600840054,0.006670462207209837,0.0,0.0004925134127378743,0.0,0.043496986979316116,0.00044931223865447677
58,8.30427820476933,8.27350616440643,0.0,0.027691995290730912,0.0,0.04076641887232202,0.11580107559670556,0.08536098559005398,0.0,0.02775580533047554,0.0,0.03601150327483323,0.048328829262437305
59,7.944944310989051,7.963897852958465,0.0,0.03533390646846842,0.016309633940333225,0.4346590909090909,0.1173742305243048,0.0006734810076013146,0.0,0.6669215661560486,0.0,0.0666707592016024,3.1776100290489694e-05
60,9.031807782690336,9.301625598877822,0.0,0.0,0.0,0.002585945136933253,0.005987110769926204,0.1962890750048536,0.0,0.03732786286782535,0.0,0.00496949268557837,0.0020770251972610223
61,9.402324181829252,9.656351239548545,0.0,0.059795841715869644,0.018323709541018668,0.05823863636363636,0.05004245383145829,0.0021888132747042727,0.02428327988140875,0.07063120456235139,0.0,0.06337837603115291,4.766415043573454e-05
63,9.47305724042543,9.76922174934579,0.4649697382150242,0.0,0.008224142036132233,0.03835227272727273,0.013362343451496499,0.0008418512595016434,0.0485665597628175,0.0702431210208,0.0,0.02469287377837126,0.0003654251533406315
64,8.995958872276075,9.090056506933621,0.0,0.029897920857934822,0.29960104297732476,0.01278409090909091,0.05564635958395245,0.0011785917633023008,0.02428327988140875,0.06878780773998233,0.0,0.008230957926123753,0.0015252528139435052
